cfg_kind,cfg_n_steps,cfg_sigma,cfg_mu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_break_step,cfg_vol_mult,cfg_mean_shift,cfg_innov,cfg_t_dof,cfg_label,exp_id,ewma_lambda,n_test,method,family,aci_gamma,coverage,mean_width,median_width,width_vs_oracle,frac_unbounded,cov_vol_low,width_ratio_vol_low,cov_vol_mid,width_ratio_vol_mid,cov_vol_high,width_ratio_vol_high,vol_cov_spread,cov_pre_break,cov_post_break,hole_depth,recovery_steps,recovered,cov_post_0_60,cov_post_60_150,cov_post_150_300,cov_post_300_600
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,oracle,oracle,,0.8846666666666667,0.017494634195502252,0.017494634195502252,1.0,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,split_abs,conformal,,0.896,0.0191838853509823,0.01888159684798034,1.0965582438936814,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,split_norm,conformal,,0.896,0.019895591881200426,0.01944325542074683,1.1372396621082503,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,cqr,conformal,,0.8993333333333333,0.0187861104469731,0.018964700029109792,1.0738212778294547,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,raw_qr,baseline,,0.882,0.017344084760401397,0.017379588531739022,0.991394536552267,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,param_gauss,baseline,,0.8886666666666667,0.018648055696656462,0.018693640264306633,1.0659300153558366,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_abs_g0.005,aci,0.005,0.902,0.019444581109078287,0.019315097732946894,1.1114597134061457,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_norm_g0.005,aci,0.005,0.8986666666666666,0.02042470224184503,0.0199601312402911,1.1674838132423528,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_abs_g0.01,aci,0.01,0.9013333333333333,0.01952053773841818,0.019267516161343756,1.1158014234694187,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_norm_g0.01,aci,0.01,0.8986666666666666,0.020724269125614515,0.02023505318892113,1.1846071712058195,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_abs_g0.02,aci,0.02,0.9006666666666666,0.019517604965869795,0.019267516161343756,1.1156337850658022,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_norm_g0.02,aci,0.02,0.8993333333333333,0.020867569624165107,0.02017525310409819,1.1927982826602923,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_abs_g0.05,aci,0.05,0.9,0.020284918515319696,0.0194730713535621,1.1594937218255643,0.006,,,,,,,,,,,,,,,,
iid,2371,0.005513246434893653,-0.00016251307069396124,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,0,0.9108058781839761,1500,aci_norm_g0.05,aci,0.05,0.8993333333333333,0.021961016218573916,0.020273192401666196,1.2553001093455236,0.005333333333333333,,,,,,,,,,,,,,,,
iid,2371,0.005929724207619174,0.00047883631370401704,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,1,0.9300922516847557,1500,oracle,oracle,,0.8846666666666667,0.01881620150986647,0.018816201509866473,1.0,0.0,,,,,,,,,,,,,,,,
iid,2371,0.005929724207619174,0.00047883631370401704,0.0,0.0,0.0,-1,1.0,0.0,student_t,6.0,iid,1,0.9300922516847557,1500,split_abs,conformal,,0.8993333333333333,0.020040423490889865,0.020082098185201624,1.0650621210865254,0.0,,,,,,,,,,,,,,,,
